,engine_name,setup_name,dataset_name,search_idx,upload_time,total_upload_time,p95_time,rps,parallel,p99_time,mean_time,mean_precisions,engine_params
60,weaviate,weaviate-m-64-ef-512,glove-100-angular,0,1349.7649877160002,1349.7650205850005,0.005248668901185737,286.12126786749525,1,0.005835294068383519,0.003408242746329779,0.8299200000000001,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 512, 'maxConnections': 64}, 'ef': 64}"
62,weaviate,weaviate-m-64-ef-512,glove-100-angular,2,1349.7649877160002,1349.7650205850005,0.07362678485224021,1805.816621511719,100,0.1077984373368236,0.03204473057548894,0.8299200000000001,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 512, 'maxConnections': 64}, 'ef': 64}"
18,qdrant,qdrant-m-32-ef-256,glove-100-angular,2,22.014017472996784,307.3713316989961,0.08506963060244742,1258.8272027129428,100,0.09871302110106639,0.06831819399037777,0.8729959999999999,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 32, 'ef_construct': 256}, 'hnsw_ef': 64}"
16,qdrant,qdrant-m-32-ef-256,glove-100-angular,0,22.014017472996784,307.3713316989961,0.003025945002082153,386.3977056631391,1,0.003354092609079089,0.0024992955187146436,0.8729960000000001,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 32, 'ef_construct': 256}, 'hnsw_ef': 64}"
20,qdrant,qdrant-m-32-ef-512,glove-100-angular,0,22.020964166993508,582.6267502909977,0.0031913783481286357,367.0504187861243,1,0.003492973839165643,0.0026322471439831135,0.878705,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 32, 'ef_construct': 512}, 'hnsw_ef': 64}"
22,qdrant,qdrant-m-32-ef-512,glove-100-angular,2,22.020964166993508,582.6267502909977,0.09047066895363969,1176.9374060572782,100,0.09833083948105924,0.07362079554710799,0.8787050000000001,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 32, 'ef_construct': 512}, 'hnsw_ef': 64}"
24,qdrant,qdrant-m-64-ef-256,glove-100-angular,0,21.813324732000183,337.2039692759936,0.003305434653157135,351.28761617104067,1,0.003686696479926468,0.0027542937449077727,0.9037210000000001,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 64, 'ef_construct': 256}, 'hnsw_ef': 64}"
26,qdrant,qdrant-m-64-ef-256,glove-100-angular,2,21.813324732000183,337.2039692759936,0.10071293330038315,1055.8283647236663,100,0.10694047992023116,0.08478030333762362,0.9037210000000001,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 64, 'ef_construct': 256}, 'hnsw_ef': 64}"
28,qdrant,qdrant-m-64-ef-512,glove-100-angular,0,22.193030128997634,647.909977958996,0.00345625389709312,331.87960095129716,1,0.0038642246922245254,0.0029201463693432745,0.917141,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 64, 'ef_construct': 512}, 'hnsw_ef': 64}"
30,qdrant,qdrant-m-64-ef-512,glove-100-angular,2,22.193030128997634,647.909977958996,0.11211057434884422,939.4625969915871,100,0.11734170032708789,0.10179625261748297,0.917141,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 64, 'ef_construct': 512}, 'hnsw_ef': 64}"
49,weaviate,weaviate-m-32-ef-256,glove-100-angular,1,514.320834281003,514.3208749580008,0.009568898950965377,160.1949917532948,1,0.010796515265101336,0.006136548502134247,0.9252290000000001,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 256, 'maxConnections': 32}, 'ef': 512}"
51,weaviate,weaviate-m-32-ef-256,glove-100-angular,3,514.320834281003,514.3208749580008,0.17841932415067271,940.656400742997,100,0.270169340433713,0.09742943010930322,0.9252290000000001,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 256, 'maxConnections': 32}, 'ef': 512}"
35,redis,redis-m-32-ef-256,glove-100-angular,3,1024.375903209002,1024.3759496269995,0.18381617775048653,585.6781326790036,100,0.2003175181743427,0.1671949978596778,0.925242,"{'hnsw_config': {'M': 32, 'EF_CONSTRUCTION': 256}, 'EF': 512}"
33,redis,redis-m-32-ef-256,glove-100-angular,1,1024.375903209002,1024.3759496269995,0.0034711549527855815,352.58569173625204,1,0.004621401130571031,0.0027638448672179946,0.925242,"{'hnsw_config': {'M': 32, 'EF_CONSTRUCTION': 256}, 'EF': 512}"
55,weaviate,weaviate-m-32-ef-512,glove-100-angular,3,933.3762714730037,933.3763043319996,0.17302600209950467,891.8442086604105,100,0.22170685252938716,0.10496586420666136,0.9330189999999998,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 512, 'maxConnections': 32}, 'ef': 512}"
53,weaviate,weaviate-m-32-ef-512,glove-100-angular,1,933.3762714730037,933.3763043319996,0.00990734010010783,154.98344220437932,1,0.011122649424432895,0.006341769843927613,0.933019,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 512, 'maxConnections': 32}, 'ef': 512}"
39,redis,redis-m-32-ef-512,glove-100-angular,3,1872.581662800003,1872.5817070720004,0.1881260565540287,562.1155224614546,100,0.19908393418736522,0.17454459964560445,0.933034,"{'hnsw_config': {'M': 32, 'EF_CONSTRUCTION': 512}, 'EF': 512}"
37,redis,redis-m-32-ef-512,glove-100-angular,1,1872.581662800003,1872.5817070720004,0.003554753299977164,343.5547189349265,1,0.004618745154803038,0.0028354411822183465,0.933034,"{'hnsw_config': {'M': 32, 'EF_CONSTRUCTION': 512}, 'EF': 512}"
1,pgvector,pgvector-m-32-ef-256,glove-100-angular,1,13.43498271000135,935.5831619360033,0.02205573080027534,60.16794891166382,1,0.023324622970612836,0.01650801736479043,0.943242,"{'hnsw_config': {'m': 32, 'ef_construct': 256}, 'hnsw_ef': 512}"
3,pgvector,pgvector-m-32-ef-256,glove-100-angular,3,13.43498271000135,935.5831619360033,0.6521243156967101,337.3312540231589,100,0.7719859638182243,0.2906605373286518,0.943242,"{'hnsw_config': {'m': 32, 'ef_construct': 256}, 'hnsw_ef': 512}"
7,pgvector,pgvector-m-32-ef-512,glove-100-angular,3,14.02430341699801,1737.5424360069956,0.6440801669989011,323.06011783650416,100,0.7680780665115163,0.3041939995635301,0.9497129999999999,"{'hnsw_config': {'m': 32, 'ef_construct': 512}, 'hnsw_ef': 512}"
5,pgvector,pgvector-m-32-ef-512,glove-100-angular,1,14.02430341699801,1737.5424360069956,0.022627237700726253,57.30094489195143,1,0.023839387368861934,0.017337200091939304,0.9497129999999999,"{'hnsw_config': {'m': 32, 'ef_construct': 512}, 'hnsw_ef': 512}"
41,redis,redis-m-64-ef-256,glove-100-angular,1,1282.9018980670007,1282.9019425290026,0.004274355799498152,299.2723027802088,1,0.005508266431061203,0.003261784195711516,0.952518,"{'hnsw_config': {'M': 64, 'EF_CONSTRUCTION': 256}, 'EF': 512}"
43,redis,redis-m-64-ef-256,glove-100-angular,3,1282.9018980670007,1282.9019425290026,0.23319796710020455,451.1991780693766,100,0.2443784794208478,0.2180589126749568,0.952518,"{'hnsw_config': {'M': 64, 'EF_CONSTRUCTION': 256}, 'EF': 512}"
57,weaviate,weaviate-m-64-ef-256,glove-100-angular,1,635.8062502399989,635.8062955610003,0.012224692956078791,130.55952971839753,1,0.014568048047367483,0.007549148461567529,0.952566,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 256, 'maxConnections': 64}, 'ef': 512}"
59,weaviate,weaviate-m-64-ef-256,glove-100-angular,3,635.8062502399989,635.8062955610003,0.2134077640952455,751.7984167815393,100,0.3117575228174252,0.12723340042189082,0.952566,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 256, 'maxConnections': 64}, 'ef': 512}"
47,redis,redis-m-64-ef-512,glove-100-angular,3,2628.445094128001,2628.4451461360004,0.27491881724745326,386.5040283889608,100,0.2909122344584466,0.25502378669532555,0.967432,"{'hnsw_config': {'M': 64, 'EF_CONSTRUCTION': 512}, 'EF': 512}"
45,redis,redis-m-64-ef-512,glove-100-angular,1,2628.445094128001,2628.4451461360004,0.0046535058463632595,269.7828193298352,1,0.00598843905805552,0.0036246129415070756,0.9674320000000002,"{'hnsw_config': {'M': 64, 'EF_CONSTRUCTION': 512}, 'EF': 512}"
61,weaviate,weaviate-m-64-ef-512,glove-100-angular,1,1349.7649877160002,1349.7650205850005,0.01404075595564791,115.08683927572095,1,0.0166983394890849,0.008579795552051656,0.9674590000000001,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 512, 'maxConnections': 64}, 'ef': 512}"
63,weaviate,weaviate-m-64-ef-512,glove-100-angular,3,1349.7649877160002,1349.7650205850005,0.23865055525166096,656.9028348242786,100,0.30367646702849016,0.14848559502558345,0.9674590000000001,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 512, 'maxConnections': 64}, 'ef': 512}"
11,pgvector,pgvector-m-64-ef-256,glove-100-angular,3,13.66972124199674,1878.880217136997,1.0917297375006456,191.7843900663655,100,1.2958115320978687,0.5154381769568943,0.9740790000000001,"{'hnsw_config': {'m': 64, 'ef_construct': 256}, 'hnsw_ef': 512}"
9,pgvector,pgvector-m-64-ef-256,glove-100-angular,1,13.66972124199674,1878.880217136997,0.0397423443970183,35.2213543629505,1,0.04229338863675368,0.028277210163674318,0.9740790000000001,"{'hnsw_config': {'m': 64, 'ef_construct': 256}, 'hnsw_ef': 512}"
15,pgvector,pgvector-m-64-ef-512,glove-100-angular,3,13.772812246003014,3149.8204901260033,1.1190580210975893,187.62584086489352,100,1.3318087158211713,0.5268130785533919,0.979799,"{'hnsw_config': {'m': 64, 'ef_construct': 512}, 'hnsw_ef': 512}"
13,pgvector,pgvector-m-64-ef-512,glove-100-angular,1,13.772812246003014,3149.8204901260033,0.04041864154787618,34.1398853317681,1,0.04288878386054421,0.029177487131385713,0.9797990000000002,"{'hnsw_config': {'m': 64, 'ef_construct': 512}, 'hnsw_ef': 512}"
19,qdrant,qdrant-m-32-ef-256,glove-100-angular,3,22.014017472996784,307.3713316989961,0.36725131055245586,286.75311625669804,100,0.3757070653718256,0.3440533395869519,0.992242,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 32, 'ef_construct': 256}, 'hnsw_ef': 512}"
17,qdrant,qdrant-m-32-ef-256,glove-100-angular,1,22.014017472996784,307.3713316989961,0.007247181647835532,163.11489610312515,1,0.007717933649109911,0.00602942890139384,0.992242,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 32, 'ef_construct': 256}, 'hnsw_ef': 512}"
23,qdrant,qdrant-m-32-ef-512,glove-100-angular,3,22.020964166993508,582.6267502909977,0.4096635607951612,257.03316164637073,100,0.41948512295493856,0.3839624799677513,0.994761,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 32, 'ef_construct': 512}, 'hnsw_ef': 512}"
21,qdrant,qdrant-m-32-ef-512,glove-100-angular,1,22.020964166993508,582.6267502909977,0.007669465545404818,152.4901663213958,1,0.008126314488472418,0.006449514625436132,0.994761,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 32, 'ef_construct': 512}, 'hnsw_ef': 512}"
27,qdrant,qdrant-m-64-ef-256,glove-100-angular,3,21.813324732000183,337.2039692759936,0.4520360992501082,231.98956882269636,100,0.4659150118712569,0.4257681618769559,0.9960180000000001,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 64, 'ef_construct': 256}, 'hnsw_ef': 512}"
25,qdrant,qdrant-m-64-ef-256,glove-100-angular,1,21.813324732000183,337.2039692759936,0.008746514649465098,138.7210212785989,1,0.00919875757135742,0.007106355768429057,0.9960180000000001,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 64, 'ef_construct': 256}, 'hnsw_ef': 512}"
29,qdrant,qdrant-m-64-ef-512,glove-100-angular,1,22.193030128997634,647.909977958996,0.009751396903811837,123.93843309647886,1,0.010197096658666851,0.007965230009021615,0.998237,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 64, 'ef_construct': 512}, 'hnsw_ef': 512}"
31,qdrant,qdrant-m-64-ef-512,glove-100-angular,3,22.193030128997634,647.909977958996,0.5275828279998678,198.984752515814,100,0.5467691974358605,0.4971346929711675,0.998237,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 64, 'ef_construct': 512}, 'hnsw_ef': 512}"
