,pesquisa_id,Configuração,Tempo de Upload (ms),Total,Latência p95 (s),RPS,Latência Média (s),Precisão Média,Engine Params
34,0,qdrant-m-32-ef-512,22.020964166993508,582.6267502909977,0.0031913783481286357,367.0504187861243,0.0026322471439831135,0.878705,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 32, 'ef_construct': 512}, 'hnsw_ef': 64}"
35,1,qdrant-m-32-ef-512,22.020964166993508,582.6267502909977,0.007669465545404818,152.4901663213958,0.006449514625436132,0.994761,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 32, 'ef_construct': 512}, 'hnsw_ef': 512}"
30,0,qdrant-m-32-ef-256,22.014017472996784,307.3713316989961,0.003025945002082153,386.3977056631391,0.0024992955187146436,0.8729960000000001,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 32, 'ef_construct': 256}, 'hnsw_ef': 64}"
31,1,qdrant-m-32-ef-256,22.014017472996784,307.3713316989961,0.007247181647835532,163.11489610312515,0.00602942890139384,0.992242,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 32, 'ef_construct': 256}, 'hnsw_ef': 512}"
39,1,qdrant-m-64-ef-256,21.813324732000183,337.2039692759936,0.008746514649465098,138.7210212785989,0.007106355768429057,0.9960180000000001,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 64, 'ef_construct': 256}, 'hnsw_ef': 512}"
38,0,qdrant-m-64-ef-256,21.813324732000183,337.2039692759936,0.003305434653157135,351.28761617104067,0.0027542937449077727,0.9037210000000001,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 64, 'ef_construct': 256}, 'hnsw_ef': 64}"
18,0,pgvector-m-32-ef-512,14.02430341699801,1737.5424360069956,0.004108284797985107,322.50779794253964,0.0030461727415829953,0.581009,"{'hnsw_config': {'m': 32, 'ef_construct': 512}, 'hnsw_ef': 64}"
19,1,pgvector-m-32-ef-512,14.02430341699801,1737.5424360069956,0.022627237700726253,57.30094489195143,0.017337200091939304,0.9497129999999999,"{'hnsw_config': {'m': 32, 'ef_construct': 512}, 'hnsw_ef': 512}"
26,0,pgvector-m-64-ef-512,13.772812246003014,3149.8204901260033,0.006922911596120682,196.37511632295534,0.00502161629550028,0.616767,"{'hnsw_config': {'m': 64, 'ef_construct': 512}, 'hnsw_ef': 64}"
27,1,pgvector-m-64-ef-512,13.772812246003014,3149.8204901260033,0.04041864154787618,34.1398853317681,0.029177487131385713,0.9797990000000002,"{'hnsw_config': {'m': 64, 'ef_construct': 512}, 'hnsw_ef': 512}"
22,0,pgvector-m-64-ef-256,13.66972124199674,1878.880217136997,0.006821172447234857,202.65531682734775,0.0048736472488722935,0.6139049999999999,"{'hnsw_config': {'m': 64, 'ef_construct': 256}, 'hnsw_ef': 64}"
23,1,pgvector-m-64-ef-256,13.66972124199674,1878.880217136997,0.0397423443970183,35.2213543629505,0.028277210163674318,0.9740790000000001,"{'hnsw_config': {'m': 64, 'ef_construct': 256}, 'hnsw_ef': 512}"
14,0,pgvector-m-32-ef-256,13.43498271000135,935.5831619360033,0.0040607614497275785,333.26456411272983,0.002941932186687336,0.5816359999999999,"{'hnsw_config': {'m': 32, 'ef_construct': 256}, 'hnsw_ef': 64}"
15,1,pgvector-m-32-ef-256,13.43498271000135,935.5831619360033,0.02205573080027534,60.16794891166382,0.01650801736479043,0.943242,"{'hnsw_config': {'m': 32, 'ef_construct': 256}, 'hnsw_ef': 512}"
